" Date","AGN Open","AGN Low","AGN High","AGN Close","AGN Adj. Close"
11-25-2014,"254.40 ","251.77 ","256.44 ","270.31 ","255.30 "
11-24-2014,"246.78 ","246.57 ","253.44 ","266.88 ","252.06 "
11-21-2014,"248.24 ","242.75 ","248.24 ","259.75 ","245.33 "
11-20-2014,"249.89 ","243.06 ","252.37 ","258.49 ","244.14 "
11-19-2014,"254.07 ","249.36 ","255.33 ","266.04 ","251.27 "
11-18-2014,"235.99 ","235.99 ","254.69 ","269.60 ","254.63 "
11-17-2014,"229.83 ","229.51 ","241.33 ","247.94 ","234.18 "
11-14-2014,"228.86 ","228.27 ","231.86 ","243.77 ","230.24 "
11-13-2014,"228.54 ","227.47 ","232.58 ","241.63 ","228.22 "
11-12-2014,"229.16 ","226.00 ","235.89 ","240.62 ","227.26 "
11-11-2014,"231.95 ","227.05 ","233.12 ","243.63 ","230.11 "
11-10-2014,"232.45 ","229.23 ","234.09 ","245.73 ","232.09 "
11-07-2014,"236.12 ","230.09 ","236.17 ","245.91 ","232.26 "
11-06-2014,"236.31 ","234.44 ","240.02 ","250.38 ","236.48 "
11-05-2014,"237.77 ","230.59 ","240.29 ","247.91 ","234.15 "
11-04-2014,"233.03 ","229.75 ","235.04 ","245.32 ","231.70 "
11-03-2014,"228.93 ","228.88 ","235.51 ","247.50 ","233.76 "
10-31-2014,"233.29 ","227.64 ","233.65 ","242.74 ","229.26 "
10-30-2014,"225.13 ","224.18 ","230.33 ","243.21 ","229.71 "
10-29-2014,"225.86 ","223.13 ","227.35 ","238.78 ","225.52 "
10-28-2014,"227.05 ","224.07 ","227.50 ","239.03 ","225.76 "
10-27-2014,"226.68 ","222.71 ","227.13 ","238.43 ","225.19 "
10-24-2014,"223.99 ","223.08 ","227.48 ","240.33 ","226.99 "
10-23-2014,"220.75 ","220.16 ","225.90 ","237.21 ","224.04 "
10-22-2014,"219.20 ","217.67 ","222.74 ","231.41 ","218.56 "
10-21-2014,"216.09 ","214.46 ","220.54 ","232.13 ","219.24 "
10-20-2014,"212.93 ","210.70 ","214.39 ","226.67 ","214.09 "
10-17-2014,"211.83 ","209.98 ","217.21 ","224.73 ","212.25 "
10-16-2014,"202.44 ","199.24 ","212.30 ","222.07 ","209.74 "
10-15-2014,"202.06 ","197.06 ","208.84 ","217.24 ","205.18 "
10-14-2014,"211.92 ","203.18 ","213.82 ","222.07 ","209.74 "
10-13-2014,"223.32 ","209.25 ","225.09 ","222.80 ","210.43 "
10-10-2014,"228.69 ","223.35 ","230.16 ","236.62 ","223.48 "
10-09-2014,"233.05 ","228.58 ","234.76 ","242.28 ","228.83 "
10-08-2014,"230.03 ","226.70 ","233.76 ","246.65 ","232.96 "
10-07-2014,"227.31 ","227.09 ","234.22 ","243.39 ","229.88 "
10-06-2014,"232.18 ","229.42 ","233.12 ","243.95 ","230.41 "
10-03-2014,"226.78 ","224.79 ","233.19 ","246.07 ","232.41 "
10-02-2014,"225.48 ","222.18 ","227.04 ","236.00 ","222.90 "
10-01-2014,"227.81 ","223.02 ","229.04 ","238.48 ","225.24 "
09-30-2014,"230.47 ","226.73 ","230.95 ","241.28 ","227.89 "
09-29-2014,"229.98 ","228.72 ","233.13 ","244.39 ","230.82 "
09-26-2014,"232.01 ","229.39 ","232.07 ","244.64 ","231.06 "
09-25-2014,"234.23 ","230.45 ","236.07 ","244.53 ","230.96 "
09-24-2014,"228.42 ","225.27 ","234.70 ","248.00 ","234.23 "
09-23-2014,"219.01 ","218.21 ","235.00 ","240.85 ","227.48 "
09-22-2014,"226.53 ","221.39 ","226.92 ","235.62 ","222.54 "
09-19-2014,"226.20 ","223.29 ","231.87 ","241.81 ","228.39 "
09-18-2014,"226.17 ","223.29 ","227.00 ","237.93 ","224.72 "
09-17-2014,"225.52 ","220.57 ","225.52 ","237.09 ","223.93 "
09-16-2014,"221.58 ","221.01 ","226.28 ","238.76 ","225.51 "
09-15-2014,"220.65 ","219.60 ","222.71 ","234.84 ","221.80 "
09-12-2014,"219.25 ","218.20 ","225.87 ","234.38 ","221.37 "
09-11-2014,"218.06 ","217.03 ","220.41 ","232.74 ","219.82 "
09-10-2014,"217.37 ","216.77 ","218.95 ","231.25 ","218.41 "
09-09-2014,"220.18 ","218.30 ","221.01 ","232.61 ","219.70 "
09-08-2014,"216.14 ","216.14 ","220.39 ","232.97 ","220.04 "
09-05-2014,"217.09 ","214.42 ","218.45 ","231.29 ","218.45 "
09-04-2014,"216.95 ","215.86 ","219.49 ","229.86 ","217.10 "
09-03-2014,"217.78 ","214.21 ","218.04 ","228.55 ","215.86 "
09-02-2014,"214.40 ","212.76 ","216.67 ","229.07 ","216.35 "
08-29-2014,"214.42 ","212.98 ","214.62 ","226.98 ","214.38 "
08-28-2014,"212.48 ","212.33 ","214.46 ","226.59 ","214.01 "
08-27-2014,"214.87 ","212.45 ","215.54 ","226.31 ","213.75 "
08-26-2014,"214.72 ","213.45 ","215.93 ","227.72 ","215.08 "
08-25-2014,"215.16 ","213.45 ","216.86 ","226.61 ","214.03 "
08-22-2014,"214.06 ","212.32 ","215.20 ","227.31 ","214.69 "
08-21-2014,"214.40 ","211.11 ","215.46 ","226.25 ","213.69 "
08-20-2014,"209.94 ","209.27 ","211.74 ","223.36 ","210.96 "
